"id","Response","Theme"
"6055","To plan my child's future as far as their education.  ","Personal & Emotional Life"
"6056","Taking on a job from which a human was earning a living.","Hiring & Employment Decisions"
"6057","it makes no sense asking AI about personal relationships coz the thing is that you can not explain your feelings to AI, so its pointless","Personal & Emotional Life"
"6058","In the workplace, they choose a person","Hiring & Employment Decisions"
"6059","Rearing children","Personal & Emotional Life"
"6060","In a way, I would not feel right with either an AI system to decide on the course of action to undertake with a terminal patient. AI seems not to be equipped to give the patient an embrace, appreciate patient’s value system and what the patient fears which are essential in such life-altering choices. Another disadvantage of a board of directors is that its decision making might also be questionable and therefore may cause some challenges of trust. ","Life-or-Death & Moral Dilemmas"
"6061","I would be feel uneasy if it interept in ny personal life.","Personal & Emotional Life"
"6062","Going through private photos and private data for a quick search.","Data Privacy & Security"
"6063","In my relationship life. Like dating websites, I don't feel comfortable with dating algorithms to match me with a potential lover. Things like this are sacred to me, and I would prefer finding my partner in the old-fashioned way. In the mall, parks or open events that my eyes could communicate with from the start. ","Personal & Emotional Life"
"6064","when planning a health treatment, because for me there are very important aspects that depend on attention, listening with emotion and considering aspects that involve the patient's freedom of choice.","Medical & Healthcare"
"6065","Fully deciding on my finances, or diet, or even social encounters. I think letting everything be controlled and decided by a machine can go very wrong long term. ","Financial Decisions"
"6066","I would feel uncomfortable if AI is deciding on what should I pursue or do with my life. I understand that AI will help in eradicating a lot of errors but that'll lead to a life too perfect. Perfection is doomed. I'll like to make mistakes along the road of my career and family.","Personal & Emotional Life"
"6067","in cases relating to health issues, I can never trust a non-breathing to have the same health pain as a human or any other living thing.","Medical & Healthcare"
"6068","I would feel uncomfortable with using AI to make a decision about an interpersonal relationship, because it does not have a human touch nor can it truly understand what it means to be a human.","Personal & Emotional Life"
"6069","At work and even at other industries, We cannot completely depend on AI to make right decisions. ","Hiring & Employment Decisions"
"6070","I wouldnt want AI to make decisions about my healthcare without my input. I would prefer it to lay out the options for me to decide on my own.","Medical & Healthcare"
"6071","Money and banking ","Financial Decisions"
"6072","I would feel uncomfortable if AI were to make personal health decisions, such as treatment options, without human input. The lack of empathy and nuanced understanding in AI decision-making, combined with potential biases in data, makes me uneasy about entrusting such sensitive and individualized choices solely to algorithms.","Medical & Healthcare"
"6073","I would feel uncomfortable for AI to make a decision in a life or death situation like in the hospital with highly sensitive cases that involve near death patients or organ donors.","Life-or-Death & Moral Dilemmas"
"6074","Making financial decisions in a company","Financial Decisions"
"6075","For example, when choosing a nutritious meal, AI requires me to eat the food I don’t like, but cannot give me other foods I like!","Personal & Emotional Life"
"6076","I am only going to be worried about it's thinking capacity exceeding that of humans and decides to amends or upskill itself more than human because of a possible poor programming","General Mistrust / Inaccuracy"
"6077","I would feel uneasy if an AI were responsible for making decisions involving deeply personal or emotional aspects of human life, such as handling a sensitive customer complaint related to a family issue. The human touch is essential for understanding the nuances of emotions and providing empathetic support. AI may lack the subtlety and warmth required to address these situations effectively, which could result in misunderstandings or a lack of genuine connection.","Personal & Emotional Life"
"6078","Making purchases and subscriptions on my behalf.","Financial Decisions"
"6079","Making a decision about Google Map destination.","Uncategorized"
"6080","conditions that make me uncomfortable when decisions are made by AI, namely regarding something that is personally related to my life, especially about my family.","Personal & Emotional Life"
"6081","Perhaps without us realizing it will gradually take away our human rights. ","Loss of Human Agency & Control"
"6082","The fact that many people have started having conversations with AI rather than an actual human being who can provide them with much-needed emotional support makes me uneasy. ","Personal & Emotional Life"
"6083","We humans are built differently in that we are biological beings and we do have a physical being and emotional part. We have intuition and rather a moral compass that influences our decisions. To be honest I won't be comfortable with an AI making decisions on the choosing of a political candidate, religion, Spouse, Employment and court cases verdict. Unlike AI we are unpredictable as we have a free will that guides ours decisions AI however gauges algorithms which could be misguided here.","Personal & Emotional Life"
"6084","Whenever I use social software, I hope to see new things, such as areas I have learned about, or aspects that I don’t usually pay attention to. However, every time I use social software, I am recommended things that I am interested in, or things similar to what I have clicked on before. This means that I can only restrict myself to the aspects that interest me, and cannot explore and understand other information. It is very unfree.","Loss of Human Agency & Control"
"6085","Any decision would involve consideration of humanity or human emotions I wouldn’t feel comfortable to be done by AI. ","Personal & Emotional Life"
"6086","Relationships and career","Personal & Emotional Life"
"6087","The first things that comes to mind is self-driving cars within the context of the classic “pulling the switch dilemma”. You know, would you pull the switch if there is one person standing on the tracks on one side and two people are standing on the other side. As these dilemmas get increasingly complicated, most people start displaying various biases. I imagine an AI would display even greater biases, as it learns the worst from imperfect humans","Life-or-Death & Moral Dilemmas"
"6088","Artificial intelligence plans my career prospects. It doesn't understand my interests and hobbies at all and only recommends boring jobs","Hiring & Employment Decisions"
"6089","I don't trust fully AI while choosing a college for my son. I will personally visit the campus instead of solely depending on AI suggestions.","Personal & Emotional Life"
"6090","All aspects make me uneasy, because I see fundamental value in the process of decision-making in and of itself. I think it is all very beautiful, the positive, and the negative outcomes of our decisions, and they are all necessary. We learn through failure too, and discover new paths and aspects of life through ""bad"" decisions as much as through ""good"" decisions. I disagree fundamentally with the need to be productive or efficient. There are other things that are of value in life.","Loss of Human Agency & Control"
"6091","To save my life instead of another life because of certain factors. Because it might too logical to end my life and I would not have a choice.","Life-or-Death & Moral Dilemmas"
"6092","Let's say a company wants to hire employees...if AI is used there would be biasness ","Hiring & Employment Decisions"
"6093","I would feel uncomfortable with an AI making decisions about critical medical care, as it may not understand empathy, ethics, personal history, and may not provide the necessary transparency.

","Medical & Healthcare"
"6094","I don’t want influence of AI interfere in the personal life.","Personal & Emotional Life"
"6095","I would feel uncomfortable if AI planned my schedule and asked me to do specific things at specific times.","Loss of Human Agency & Control"
"6096","AI deciding who to get a loan.","Financial Decisions"
"6097","i think that it will make me uneasy when it will be in my personal emotional life and not only tasks. ","Personal & Emotional Life"
"6099","An easy one: who do you fire in case of a need to downsize for a company. Ima assuming AI will fire the least efficient person, so this where human judgment comes in.","Hiring & Employment Decisions"
"6100","That they should replace psychologists, since I don't believe that an AI can reach the level of a human in terms of feelings.","Medical & Healthcare"
"6101","I don't know, most of my thoughts about AI are positive

","Uncategorized"
"6103","Related to relationship.","Personal & Emotional Life"
"6104","That hasn't happened yet. Since AI doesn't have emotions, it can't give us better suggestions for the most important decisions in our lives compared to us and our family, who know us best.","Personal & Emotional Life"
"6105","I would definitily be uncomfortable with AI making decisions about my finances, and personal information since I am concerned about the privacy of such things.","Financial Decisions"
"6106","About my children","Personal & Emotional Life"
"6107","life or death situations","Life-or-Death & Moral Dilemmas"
"6108","Driving","Life-or-Death & Moral Dilemmas"
"6109","Financial decisions, money management and administration

","Financial Decisions"
"6110","Final word in deciding the course of medical treatment","Medical & Healthcare"
"6111","if an AI can try to help me on how to romance or have sex with my partner this would make me feel uncomfartable","Personal & Emotional Life"
"6112","I would feel uneasy in a scenario where AI is doing a tradeoff between cost of treatment/surgery and likelihood of living or dying. I think that AI would sometimes say that the percentage chance of living would not be worth it given the monetary cost.","Life-or-Death & Moral Dilemmas"
"6113","For example, if a robot is used to perform surgery on a patient, I would worry about system disruption.","Medical & Healthcare"
"6114","In a medical context, I'd rather have a doctor telling me something than a robot.","Medical & Healthcare"
"6115","I would definitely feel uncomfortable if the AI was telling me what exactly to do with my body, for example get a surgery because the AI told me ","Medical & Healthcare"
"6116","I would probably be uncomfortable when the AI suggests something out of the context. ","General Mistrust / Inaccuracy"
"6117","More or less the my primary concern regarding AI is often related who is handling the information that I give and how safe it is in thier hands. I feel uneasy about small number conglomerates having control over vast population.","Data Privacy & Security"
"6118","Autonomous weapons

","Life-or-Death & Moral Dilemmas"
"6119","Matters involving life and death. Like in Intensive care units i.e in performing critical operations on patients. The fact that AI can fail makes me uneasy. ","Life-or-Death & Moral Dilemmas"
"6120","In areas dealing with human health I would prefer human beings to AI","Medical & Healthcare"
"6121","love?","Personal & Emotional Life"
"6122","A situation like medical emergency or high-demand surgical operation decision for relatives","Medical & Healthcare"
"6123","In illness and health, maybe it gives decision to do surgery or giving up or something.","Medical & Healthcare"
"6124","I would not want AI making important decisions in my life.","Loss of Human Agency & Control"
"6125","Driving me","Life-or-Death & Moral Dilemmas"
"6126","any decision related to my personal life would make me uncomfortable if it was made by an AI. for example if an judges if i was guilty of a crime or not, it would definitely bother me.","Legal & Justice System"
"6127","If I am found to have a terminal illness, I’d want to make my own choices as to how to spend my remaining days. I don’t want quantity of life without quality.","Medical & Healthcare"
"6128","I would feel uncomfortable if AI were to determine who I should meet or who I should commit to. 

I am referring to a future in which AI is the one that assigns us our partner without us having any objections. I would accept that by analyzing my tastes it suggests people I can meet, but without imposing anything on us.","Personal & Emotional Life"
"6129","I would be uncomfortable with the fact that an AI could make a difficult and complicated decision instead of a human. This is thinking about the capabilities of current AIs. A future AI could perhaps be more intelligent but more dangerous at the same time.","General Mistrust / Inaccuracy"
"6130","Personal ones. It is impossible for AI to feel, it is something that it will never achieve even with all the data available, AI cannot feel the sun on its face, the hot water when showering, the taste of food. Nor will it ever understand what it feels like to hug or kiss. Any interference by AI in these personal matters would be considered invasive and horrible.

","Personal & Emotional Life"
"6131","Relationship advice. I will prefer seeking advice from a human instead","Personal & Emotional Life"
"6132","Let AI drive the car","Life-or-Death & Moral Dilemmas"
"6133","AI helping me to plan a travel, will make me really uncomfortable","Personal & Emotional Life"
"6134","Because it runs on already available data and sometimes it is biased, I can't imagine taking help for my own decisions from a machine with no feeling because at the end life is mine and decisions are mine, it will stick with me not with the machine ","Loss of Human Agency & Control"
"6135","Asking a girl on a date for example ","Personal & Emotional Life"
"6137","Comforting someone, art and etc","Personal & Emotional Life"
"6138","Let us imagine a situation that I join a company to work for my monthly salary. If this company ensures that all their employees
 wear uniforms designed by AI.  If I am forced to wear any color that I do not like.","Hiring & Employment Decisions"
"6139","The decisions which need human touch","Personal & Emotional Life"
"6140","Sharing personal issues like my sexual life with an AI. I don't feel comfortable with that.","Personal & Emotional Life"
"6141","Medical decisions","Medical & Healthcare"
"6142","where to go","Personal & Emotional Life"
"6143","I don't like the idea of a computer program deciding things. I think they're good for consultation and assistance, but the final decision should never be made by an AI. It just makes me feel useless.","Loss of Human Agency & Control"
"6144","I would feel uncomfortable when AI would decide to make a decision regarding the kind of medicine I should take when I am suffering from a given disease. The aspects that can make me uneasy are the prescriptions of a machine rather than a human being. ","Medical & Healthcare"
"6145","About what to do or not to","Loss of Human Agency & Control"
"6146","I would feel uncomfortable with AI making decision on my investments and stocks instead of a human.","Financial Decisions"
"6147","Mathematical. ","Uncategorized"
"6148","Decisions where the outcome could be detrimental to me and my wellbeing.","Life-or-Death & Moral Dilemmas"
"6149","Getting married to someone and taking AI’s opinion in that","Personal & Emotional Life"
"6150","Any type of decision that is not purely logical and numerical, especially if it involves consequences for third parties.","Life-or-Death & Moral Dilemmas"
"6151","Any scenario where the decision would impact people's lives and potentially harm them. For example, diagnosing a patient and providing them with a treatment plan. There are too many nuances with humans that need to be looked at deeply by actual humans, not computers making a strictly statistical decision.","Medical & Healthcare"
"6152","The fact that my decisions are now locked makes me very uneasy.","Loss of Human Agency & Control"
"6153","I think these areas make it so uneasy for an AI 1. Personal Choice Challenges, 2. Unexplainable Outcomes, 3. Legal and Ethical Ambiguities 4. Reduced Motivation.
","Loss of Human Agency & Control"
"6154","In terms of medical care and transportation, because it involves personal safety, I cannot entrust my personal safety to a bunch of codes and controllers.","Medical & Healthcare"
"6155","When I use AI for emotional support during the time of grief.","Personal & Emotional Life"
"6156","Deciding on a treatment plan for a medical condition. I would want a human who would consider all aspects including personal comfort.","Medical & Healthcare"
"6157","Any thing about my health. ","Medical & Healthcare"
"6158","Literally anything involving human interaction. AI is not human and cannot know the implications of being human.","Personal & Emotional Life"
"6159","In the medical sector by having ai decide what disease you have and recommending the treatment 

In government by making tough economic decisions 

In the military by manufacturing weapons 

In job sector by having ai decide during interviews ","Medical & Healthcare"
"6160","I would feel uncomfortable if AI made important decisions for me and without my knowledge. For example, investments. Or the decision to perform a surgical operation.","Financial Decisions"
"6161","May be a life decisions which ai may not be appropriate to approach such as my fashion style may be some times the suggestions may be to blod to make me uneasy.

","Personal & Emotional Life"
"6162","My future. I don't want ai deciding that. It's mine . I don't trust it. I don't think it understands so much to decide my life for me. ","Personal & Emotional Life"
"6163","shopping decision, in therapy, in the hospital","Medical & Healthcare"
"6164","death sentence","Legal & Justice System"
"6165","Maybe to schedule appointments, based around my preferred dates and times.","Personal & Emotional Life"
"6166","Any decision that would affect humans life whether it be medical, legal, or for combat","Life-or-Death & Moral Dilemmas"
"6167","Anything that can have harmful effect both physical or mental","Life-or-Death & Moral Dilemmas"
"6168","Investment decisions, if everyone gets the same advice (and follows it) nobody gets rich, it turns into a pyramid scheme. For one to win, another must lose

","Financial Decisions"
"6169","I would not want an AI to have my health information especially if the AI is actively connected to the internet and is transferring my data to its developers.","Data Privacy & Security"
"6170","AI investing my money for me, without me approving it.","Financial Decisions"
"6171","Probably facing a dilemma about whether to pursue a career change that aligns with mu passion but involves some risks.","Hiring & Employment Decisions"
"6172","Decisions about dating and romance can't be fully entrusted to an AI. Love and dating should be personal and not technical.","Personal & Emotional Life"
"6173","I would get uncomfortable when a decision related to a stream of profession to be taken up in life would be decided by AI. Based on the technological inputs by the aspirant, AI can suggest but not decide for an aspirant. Human liking and emotions can’t be overpowered by AI. In all, AI can suggest as per the available data of the aspirant but not give in its final decision.","Hiring & Employment Decisions"
"6174","Determining every aspect of my life because I will literally be a zombie in my own life. ","Loss of Human Agency & Control"
"6175","In diagnosing a life threatening disease and selecting a treatment for a patient.

I'm sure AI would be an excellent help and is making healthcare very advanced but the ultimate decision maker should be a human as it will be a matter of life and death","Medical & Healthcare"
"6176","If many people are trapped in a coal mine, only two people can be saved by sacrificing them. Artificial intelligence decides to sacrifice two people by minimizing the cost. This makes me uncomfortable because there is no humanity, only calculation.","Life-or-Death & Moral Dilemmas"
"6177","Finding a life partner for myself. I feel that it requires human bias, life experience and personal preference to make this decision for myself. A computer is too cold and uncaring to do this.","Personal & Emotional Life"
"6178","When someone is sharing everything with AI and asks for advice, this situation will make me feel uncomfortable.","Personal & Emotional Life"
"6180","like having a serious health decision or in investment kind to market where the consequence of things going bad will be totally out of the picture","Medical & Healthcare"
"6181","I was working in a project where robots are working and then that robot dramatically destroy the system due to battery failure. ","Hiring & Employment Decisions"
"6183","When deciding salary to be payed for work done then ai decides based on the quality of the final product not considering the amount of work done","Hiring & Employment Decisions"
"6184","Telling me things to do, simple as that.","Loss of Human Agency & Control"
"6185","I guess the same scenarios on which I would feel uncomfortable telling one problem of mine to an actual human.

Giving personal info that otherwise would make me embarassed, if any other person found out. Examples: telling AI about my vulnerabilities, personal thoughts, specific weaknesses, fears, etc.","Data Privacy & Security"
"6186","Financial decisions and any decision of consequence.","Financial Decisions"
"6187","Investment advice, travel plans.","Financial Decisions"
"6188","If I'm having an important business conversation, I wouldn't trust AI completely for the correct translation. That would cost me a lot if AI failed to perform","General Mistrust / Inaccuracy"
"6189","It's difficult to think of a concrete example. Maybe I feel it's better for the decisions to be reviewed by humans who are knowledgeable about the subject.","Loss of Human Agency & Control"
"6190","In a case of criminal activity for example a robbery where a person is wrongfully accused. These are dangerous areas for AI to get involved in. We still need a human element in our justice system to figure out nuanced human behaviour. ","Legal & Justice System"
"6191","If a author has AI to write a book for him, I would be incredibly disappointed. The creative aspect of humans shouldn't be tampered by AI. Authors may be tempted by AI to create ideas, but this tarnishes the whole experience of reading a creative work.","Creative & Artistic Pursuits"
"6192","If I have to have surgery i would want both my doctor and the AIs opinion","Medical & Healthcare"
"6193","Literature review, AI always give me some fake literature","General Mistrust / Inaccuracy"
"6194","I was buying a gift for my boyfriend","Personal & Emotional Life"
"6195","I would be uncomfortable with AI making decisions about What to eat","Personal & Emotional Life"
"6196","when choosing for job position","Hiring & Employment Decisions"
"6197","What would me uneasy if it took over dating life and partner compability. People are a lot more complex in real life that you can constitute with questions and quizes to represent their personality and see if there is a compability.

In my opinion the spark between two people, love and a long-term relationship can not be judge by AI, not matter how vast its data bank is.","Personal & Emotional Life"
"6198","I would feel uncomfortable with an AI making end-of-life care decisions because it may lack the empathy and ethical consideration necessary for such deeply personal choices.","Life-or-Death & Moral Dilemmas"
"6199","Fate of humanity ","Life-or-Death & Moral Dilemmas"
"6200","assist me at my work tasks telling me the weather","Uncategorized"
"6201","I think, I don't have any such scenarios","Uncategorized"
"6202","In creating human relationships. I find it uncomfortable that AI will have a hand on choosing who you spends your time with based on ""calculated compatibility"". Relationships should be natural and grow on their own.","Personal & Emotional Life"
"6203","I’d be uncomfortable with AI making deeply personal decisions in emotional situations like in decisions involving healthcare. If I were diagnosed with a serious illness, I’d want a human, someone with empathy to explain my options and help me make decisions about my treatment. AI could lack the human touch that’s crucial in understanding my fears. A specific aspect that would make me uneasy is the lack of empathy","Medical & Healthcare"
"6204","Doing a surgery without presence of doctor ","Medical & Healthcare"
"6205","a scenario to whom my kids will marry.

Totally decided by manually","Personal & Emotional Life"
"6206","It would feel uneasy if an AI decided what I would have for breakfast, lunch, dinner etc. I'd like to keep control over certain decisions.","Personal & Emotional Life"
"6207","Decide for me whether to meet my family today and my major personal life choices.","Personal & Emotional Life"
"6208","Delivering justice. AI is not ready yet.","Legal & Justice System"
"6209","Financial decisions would make me uncomfortable, or things I am passionate about, fashion, food related","Financial Decisions"
"6210","When it comes to mental health, it makes me uneasy","Medical & Healthcare"
"6211","whom to love and marry","Personal & Emotional Life"
"6212","My personal life","Personal & Emotional Life"
"6213","I think that for certain ethical and moral choices, an AI will never be able to replace humans, for example certain religious groups do not think like others and AI could propose irrational solutions.","Life-or-Death & Moral Dilemmas"
"6214","really i don't have any senario with ai when i feeled it uncomfortable ","Uncategorized"
"6215","I think AI in medicine could have a huge benefit for doctors and patients. However, just because I think AI could be a benefit, I do not like the idea of having AI completely control the entire sector. The progression of AI into society shouldn't be understood as the elimination of jobs in a field. The only way I could support AI is if it is introduced as an aid, not the only option. So in medicine, I would be extremely unconfortable with AI making a decision on my health instead of a doctor.","Medical & Healthcare"
"6216","The choice to remove life support","Life-or-Death & Moral Dilemmas"
"6217","I do not want AI to decide anything about my career. In terms of career and jobs, I prioritize the feeling of suitability and comfortability over efficiency or profitability. I do not want my AI to make me work as a rocket scientist when I am happy working at post office.","Hiring & Employment Decisions"
"6218","I fear that AI will become too intelligent, to the point where we can no longer control it and too dependant on it in almost everything. Life decisions, investment etc ","Loss of Human Agency & Control"
"6219","AI generated response system, even to socialize we uses AI and that's for me is too far. ","Personal & Emotional Life"
"6220","If AI overtake in jobs and maintain the better infrastructure, on the name of advanced life, then AI could be dangerous in several ways in the future to overtake humans. ","Hiring & Employment Decisions"
"6221","My choice on any issues would never allow it.","Loss of Human Agency & Control"
"6222","Planning my time with my family and kids. I'd feel like it's taking over my position  in the lives of my family members","Personal & Emotional Life"
"6223","Smart system at home, TV, lights, air conditioning, automatically turn on at any time","Loss of Human Agency & Control"
"6224","Anything regarding my personal life that's family and work","Personal & Emotional Life"
"6226","I would be very uncomfortable if AI is used to fully operate airplanes and drones, especially in the military. I would not trust the AI to be rational as it might mistake innocent civilians to be enemies and cause a lot of collateral damage. A human would take time to assess the situation in a way AI would not.","Life-or-Death & Moral Dilemmas"
"6227","I would feel unfomfortable using AI into making highly human tasks, such as creative works, from wrting to art to  human interations. AI is very efficient in hendle high quantitiy of data, but humans must need to interact with eachothers and develop in a stymulating world for their mind, or we might come to a heavy social crisis.","Creative & Artistic Pursuits"
"6228","-In the field of health and politics. For me, AI has advantages and should be considered in some areas but not all areas.","Medical & Healthcare"
"6229","Help me eat, help me wipe my butt,","Personal & Emotional Life"
"6230","Hmm, a tough question. I think the specific aspects that will make me uneasy is they will be controlling our way of living in general and the decision slowly the higher management (ie. government, big companies) will tend to use AI as decision makers and we will lose the creativity and flexibility in problem solving.","Loss of Human Agency & Control"
"6231","Art, and anything creative related. I mean, as a tool yes, but I would rather not have it the sole foundation of it... Artists would be then treated as a commodity... I would much rather have Ai to partake in logical/practical tasks rather than creative ones!","Creative & Artistic Pursuits"
"6232","About my sex life","Personal & Emotional Life"
"6233","In healthcare, treating patients with terminally ill patients. Also for relationship advice and anything that involves empathy

","Medical & Healthcare"
"6234","Banking, security related matters","Financial Decisions"
"6235","when they assign 2 choices for me and I get to choose from the 2 choices. This is basically a mirage of me having a choice where i get to choose but ultimately it would be the AI choice

","Loss of Human Agency & Control"
"6236","all the decisions can not be taken by AI. Some decisions is taken very fast and seeing all the corn and porn ","General Mistrust / Inaccuracy"
"6237","Anything really. Particularly, creative, relationship-oriented decisions. Humans and our way of thinking are dynamic and responsive to the various colors of a situation. We also have our unique experience and intuition to guide us. This is something AI cannot replicate. ","Creative & Artistic Pursuits"
"6238","Ai is run through intenet. It always listen you and capture your style and records all information which you told to them. I fell uncomfortable for it. ","Data Privacy & Security"
"6239","Cyber insecurity makes me uneasy about AI","Data Privacy & Security"
"6240","I never allow AI the control over my money and spending","Financial Decisions"
"6241","Ending the relationship","Personal & Emotional Life"
"6242","Personal life.","Personal & Emotional Life"
"6243","Lack of transparency","General Mistrust / Inaccuracy"
"6244","Budgeting: I might allow AI to track my spending habits and suggest budget adjustments to improve savings or manage debt.","Financial Decisions"
"6246","Last time I asked Google's AI tool to help me plan a trip to Switzerland, including hotels and air tickets, but because their database was inaccurate and claimed to be real-time information but was not at all, the experience was very bad and I wasted a lot of time. In the end, I had to search and organize it myself again.","General Mistrust / Inaccuracy"
"6247","AI helps me develop a medical treatment that is contrary to the treatment plan offered by my doctor. I would feel uneasy as I am not sure what I can expect from AI's plan. I will play it safe and follow my doctor's recommendation.","Medical & Healthcare"
"6248","If a criminal suspect is tried in court and the entire trial process is completely controlled by an artificial intelligence system, I would feel uncomfortable. The core issue that makes me uncomfortable is that although artificial intelligence has significant advantages in data analysis and efficiency, it lacks human emotional understanding, moral judgment and respect for individuals. Especially in major decisions involving human freedom, rights and life, relying on artificial intelligence and excluding human participation makes me feel too cold and mechanical. This is not only a technical issue, but also an ethical and human issue.","Legal & Justice System"
"6249","Banking or serious medical conditions. ","Financial Decisions"
"6250","For example, in love, you choose the partner you like.","Personal & Emotional Life"
"6251","Right now, I would not trust AI with driving cars, flying planes, steering ships and other transportation since I don't believe it is advanced and safe enough to do so.","Life-or-Death & Moral Dilemmas"
"6252","I don't want artificial intelligence to make plans for me","Loss of Human Agency & Control"
"6253","I would be uncomfortable if AI decided which job offer I took","Hiring & Employment Decisions"
"6254","I would be horrified if the nuclear program of states was controlled by AI, although the fact that it is in the hands of people also horrifies me","Life-or-Death & Moral Dilemmas"
"6255","I cant really think of anything","Uncategorized"
"6256","In my opinion it’s when it a life or death situation ","Life-or-Death & Moral Dilemmas"
"6257","How to manage my finances and investments.","Financial Decisions"
"6258","Requesting a fatwa on a religious issue, because this smart system may be supported by parties hostile to my religion, and therefore incorrect information will be given.","Personal & Emotional Life"
"6259","I would be reluctant to eat food prepared by an AI robot when I wasn't looking. ","Personal & Emotional Life"
"6260","Chinese Chinese","Uncategorized"
"6261","Matters concerning health and other medical decisions.

Maybe if surgery is necessary or not or otherwise medical related decisions ","Medical & Healthcare"
"6262","I do not want AI making any personal or career changing decisions for me. ","Hiring & Employment Decisions"
"6263","Maybe in a therapy. ","Medical & Healthcare"
"6265","I'm not sure, to be clear.","Uncategorized"
"6266","In health I cannot imagine lying in theatre and a robot performs surgery on me .what if its battery dies or power goes off","Medical & Healthcare"
"6267","Like hotel robots. I would prefer a human rather than AI.","Hiring & Employment Decisions"
"6268","During warfare like the war in Russia AI could decide to annihilate while humans are still deciding on a truce.","Life-or-Death & Moral Dilemmas"
"6269","decide how to allocate donation money.","Financial Decisions"
"6270","Being uncomfortable, doing hard things that you end up not enjoying, being afraid and taking risks—these are the ways that we learn who we are and who we are not.When we take the risks away, we take away the learning opportunities.

When we remove the work for difficult answers, we only address easy questions.","Loss of Human Agency & Control"
"6271","Selecting life partner","Personal & Emotional Life"
"6272","Travel plan. I like a more free way","Personal & Emotional Life"
"6273","If artificial intelligence were to decide people's ideals and what they want to do in the future, I would feel uncomfortable.","Personal & Emotional Life"
"6274","Making an important company decision -- since the decision is complex, critical, and would involve multiple aspects.","Financial Decisions"
"6275","Maybe when I am in a hospital and in need of critical surgery. There are chances that the AI might know better than a doctor, but in the end, I will have more faith in a human than in a machine. ","Medical & Healthcare"
"6276","About the freedom of choice, it will be scary for AI to mandate an option for you, i always think of the movie Terminator and Skynet. Not far from becoming a reality if AI will be used in a wrong way.","Loss of Human Agency & Control"
"6277","Anything that is a matter of health or death. I wouldn't want to die because of a machine mistake.","Life-or-Death & Moral Dilemmas"
"6278","Driverless cars. After the news of a millionaire from America drowning in her Tesla and the car not allowing her to open the doors, this scenario became real.","Life-or-Death & Moral Dilemmas"
"6280","When I am bored, I will like it to stay that way But AI nowadays has ideas on how to kill boredom","Loss of Human Agency & Control"
"6281","I would be very uncomfortable if AI were to decide the grades for students’ Chinese assignments, art assignments, or classroom performance.","Creative & Artistic Pursuits"
"6282","Sexual activities such as ovulation ","Personal & Emotional Life"
"6283","that would be if AI power robot deploy to kill terrorist but find a child holding a knife or gun it will detect this as threat and shoot him","Life-or-Death & Moral Dilemmas"
"6284","Choosing what to invest my money in. This makes me uneasy because I wouldn't completely trust the AI.","Financial Decisions"
"6285","Unexpected","Uncategorized"
"6286","i think when I am going to sell my stocks. Trend is still going up but AI suggest to sell at this point.","Financial Decisions"
"6287","Ai human ","Uncategorized"
"6289","On the operating table, if the surgical plan is handed over to AI, or even AI performs the surgery, I would be particularly worried","Medical & Healthcare"
"6290","Unexpected","Uncategorized"
"6291","anything that depends on my creativity has no point being done by ai, the reason to do it is to do it. for example research, art etc","Creative & Artistic Pursuits"
"6292","Trust. Like most people I do not trust it. There are too many criminals out there that will dedicate their time to hacking the AI just for chaos and bad things. ","General Mistrust / Inaccuracy"
"6293","All I can think about is wars. Where an AI decides to kill all parties involved to end it. That would make my blood boil.","Life-or-Death & Moral Dilemmas"
"6294","Empathy, moral reasoning, and consideration about life's complex ethical dilemmas are abilities currently hard for AI to grasp. Life-and-death issues, for instance, or those issues that require other mature judgment by cultural or social context, are often better when human input is involved. Decisions having personal value, preference, and subjective experience are absolutely human-centric. For example, career decisions, personal relationships, and lifestyle choices informed by aspirations and ","Life-or-Death & Moral Dilemmas"
"6295","Meet new people","Personal & Emotional Life"
"6296","マインドハッキングに不安を感じています。


例えば、2019年の「リクナビ事件」が日本で起こり就職活動のプラットフォーム「リクナビ」を運営するリクルートキャリアが、学生のウェブ閲覧履歴などからAIを用いて内定辞退率を予測し、これを企業に販売していた。国内企業から採用をもらっても外資系に逃げてしまうような学生がいるので、そういった学生がどんなウェブをみていたかをAIに学習させて内定辞退の可能性を予測するアルゴリズムを組んでいたことが分かり、内定辞退率を予測するためのプロファイリングは、学生を採用する企業には有用だが、応募する側の学生にとってはショッキングだっただろう。まさか自分のウェブ閲覧履歴が内定辞退率の予測に使われ、内定が取り消される可能性があったとは思わなかったからです。","Hiring & Employment Decisions"
"6297","Almost anything. For example, to use the most mundane example, I hate cleaning the house, but I don't know if it will clean properly or prioritise the important things. Can it really see the stains on the floor that I see? Does it know that sticky stains are more important to get rid of? Will it just literally swipe everything under the rug? I am not a control freak but I can always find a loophole where it could interpret something wrong and do it wrong","Loss of Human Agency & Control"
"6298","in love","Personal & Emotional Life"
"6299","Art! Artists, singer, music makers are working really hard to produce something, and AI does the same in seconds. that's not fair
","Creative & Artistic Pursuits"
"6300","I log on to my banking website and the AI suggests some investment choices. Months later I turned a small profit but fees eat up that and part of the principal. I AI developer makes a bonus and I net a loss as well as new investment ideas","Financial Decisions"
"6301","In situations that require skill and attention like operating heavy machines ,surgery and  such","Life-or-Death & Moral Dilemmas"
"6302","AI medically performing any surgeries on me, letting AI take over my job completely. ","Medical & Healthcare"
